Price,Odometer_km,Doors,Accidents,Year,Location_City,Location_Coastal,Location_Downtown,Location_Highway,Location_Rural,Location_Suburb,CarModel_Alfa Romeo,CarModel_Aston Martin,CarModel_Audi,CarModel_BMW,CarModel_Bentley,CarModel_Bugatti,CarModel_Cadillac,CarModel_Chevrolet,CarModel_Chrysler,CarModel_Dodge,CarModel_Ferrari,CarModel_Fiat,CarModel_Ford,CarModel_Genesis,CarModel_Honda,CarModel_Hyundai,CarModel_Infiniti,CarModel_Jaguar,CarModel_Jeep,CarModel_Kia,CarModel_Lamborghini,CarModel_Land Rover,CarModel_Lexus,CarModel_Lincoln,CarModel_Maserati,CarModel_Mazda,CarModel_McLaren,CarModel_Mercedes,CarModel_Mini,CarModel_Nissan,CarModel_Opel,CarModel_Peugeot,CarModel_Porsche,CarModel_Renault,CarModel_Rolls-Royce,CarModel_Subaru,CarModel_Tesla,CarModel_Toyota,CarModel_Volkswagen,CarModel_Volvo,CarAge,Doors_per_Accident,Odometer_per_Year
1500.0,-0.5617462515142018,0.45704882848791356,-0.6933956278376386,-1.4039502201646739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.4039502201646632,1.335810162263365,-0.49704317584161506
4171.0,-0.44943881764454646,0.45704882848791356,-1.3995011551672096,0.7196719615970015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7196719615970122,1.335810162263365,-0.22636409191552248
5331.0,-0.8330952191656518,0.45704882848791356,-1.3995011551672096,0.4837139414012598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.48371394140127044,1.335810162263365,-0.38866664565796505
1500.0,-0.5261210332769438,0.45704882848791356,-0.6933956278376386,-1.285971210066803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2859712100667924,1.335810162263365,-0.48887416142240286
1500.0,0.014792974555841816,-0.45888068751992905,-1.3995011551672096,1.4275460221842267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.4275460221842373,0.6082447144075016,0.9587168611270053
1500.0,0.09014724417909589,0.45704882848791356,-1.3995011551672096,-0.8140551696753197,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.814055169675309,1.335810162263365,-0.39230363131471413
1500.0,0.18848991248673616,0.45704882848791356,0.012709899491932289,-0.6960761595774487,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6960761595774381,-0.1193207334483617,-0.3693707903612322
1500.0,-0.8529521896102711,1.3729783444957562,-0.6933956278376386,-0.9320341797731905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9320341797731798,2.063375610119228,-0.5095507831170244
2291.0,-0.9867511941325875,0.45704882848791356,-1.3995011551672096,-0.3421391292838362,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3421391292838255,1.335810162263365,-0.4994666950515611
1500.0,-0.6671108565502437,-1.3748102035277716,-1.3995011551672096,-0.9320341797731905,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9320341797731798,-0.1193207334483617,-0.48836350725931527
1500.0,-0.6517781466053161,0.45704882848791356,-1.3995011551672096,-0.3421391292838362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3421391292838255,1.335810162263365,-0.4506691465496762
10441.0,-1.1117949990631626,1.3729783444957562,-1.3995011551672096,1.073608991890614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0736089918906246,2.063375610119228,-0.32100331555199135
3622.0,-1.0511396873737793,0.45704882848791356,-0.6933956278376386,0.011797901009776355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.011797901009787044,1.335810162263365,-0.4874114242331604
2358.0,-0.28650410881586585,1.3729783444957562,-1.3995011551672096,1.4275460221842267,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.4275460221842373,2.063375610119228,0.6953662575872914
1500.0,0.15536237047818816,-0.45888068751992905,-1.3995011551672096,0.011797901009776355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.011797901009787044,0.6082447144075016,-0.2765012875988554
1500.0,-0.8410237856994925,-0.45888068751992905,-1.3995011551672096,-0.5780971494795779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5780971494795673,0.6082447144075016,-0.4920161538935755
8638.0,-1.0657968692283797,0.45704882848791356,-0.6933956278376386,1.073608991890614,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0736089918906246,1.335810162263365,-0.3009008387571136
